MainBranch_DecisionPoint,SubBranch_Focus,Condition_Or_Context,Objective_Or_Problem,Intervention_Or_Keyword,Details_Or_Examples
CAH Overview & Diagnosis,General Concepts,,Understanding CAH,Congenital Adrenal Hyperplasia (CAH),Core Term
CAH Overview & Diagnosis,Etiology,Genetic Basis,Underlying Cause,CYP21A2 Gene Mutation,Most common genetic defect
CAH Overview & Diagnosis,,Specific Enzyme Deficiencies,Identify Cause,21-Hydroxylase Deficiency,Most common form
CAH Overview & Diagnosis,,,,11-Beta-Hydroxylase Deficiency,Hypertension can be a feature
CAH Overview & Diagnosis,,,,3-Beta-Hydroxysteroid Dehydrogenase Deficiency,Rare form
CAH Overview & Diagnosis,,,,17-Alpha-Hydroxylase Deficiency,"Rare form, affects sex steroid & cortisol production"
CAH Overview & Diagnosis,Classification,Classic CAH,Subtype Definition,Classic CAH,"Severe forms, prenatal onset"
CAH Overview & Diagnosis,,,Subtype Identification,Salt-Wasting CAH (SW-CAH),"Most severe, cortisol & aldosterone deficiency"
CAH Overview & Diagnosis,,,,Simple Virilizing CAH (SV-CAH),"Cortisol deficiency, androgen excess, no salt wasting"
CAH Overview & Diagnosis,,Non-Classic CAH (NCCAH),Subtype Definition,Non-Classic CAH (NCCAH),"Late-Onset, Attenuated, Milder symptoms or asymptomatic"
CAH Overview & Diagnosis,Screening & Diagnosis,Newborn Phase,Early Detection,Newborn Screening CAH,Critical for early intervention
CAH Overview & Diagnosis,,,Screening Test,17-Hydroxyprogesterone (17-OHP) Screening,Primary marker in blood spots
CAH Overview & Diagnosis,,Diagnostic Confirmation,Hormonal Testing,Serum 17-OHP Levels,Elevated levels confirm suspicion
CAH Overview & Diagnosis,,,,ACTH Stimulation Test,"To assess adrenal response, esp. in NCCAH"
CAH Overview & Diagnosis,,,Genetic Testing,CYP21A2 Gene Analysis,"Confirms diagnosis, identifies specific mutations, carrier status"
CAH Overview & Diagnosis,,,Electrolyte Assessment,Serum Sodium and Potassium,Crucial for diagnosing salt-wasting
CAH Overview & Diagnosis,,,Renin Assessment,"Plasma Renin Activity (PRA) , Direct Renin",To assess mineralocorticoid status
Treatment Goals & Principles,Overall Aims,All CAH Forms,Achieve Physiological Balance,Hormone Replacement Therapy,Primary goal
Treatment Goals & Principles,,,Prevent Crisis,Adrenal Crisis Prevention,"Critical, especially in Classic CAH"
Treatment Goals & Principles,,,Control Androgen Excess,Androgen Excess Management,"Minimize virilization, promote normal puberty,growth"
Treatment Goals & Principles,,,Promote Normal Development,Growth and Development Optimization,"Monitor height, weight, bone age"
Treatment Goals & Principles,,,Manage Puberty,Puberty Management CAH,Ensure timely and appropriate pubertal development
Treatment Goals & Principles,,,Preserve Future Options,Fertility Preservation CAH,Address potential fertility issues
Treatment Goals & Principles,,,Minimize Adverse Effects,Long-Term Complication Management,"Address GC side effects, metabolic risks, TARTs, bone health"
