Disease,Risk Factors,Symptoms,Subtypes,Common somatic alterations include mutations,Prognostic Scoring System for MDS,Diagnosis,Treatment,Treatment Team,Risk Factors Details,Symptoms Details,Subtypes Details,Common somatic alterations include mutations Details,Prognostic Scoring System for MDS Details,Diagnosis Details,Treatment Details,Treatment Team Details
MDS,Older Age ,Anemia,MDS types grouped by genetics,TET2,Revised International Prognostic Scoring System (IPSS-R),Laboratory Findings,Supportive Care,Primary Care Physician,,Feel sleepy or tiredness that soesn't get better with rest,MDS with low blasts and isolated 5q deletion (MDS-5q),Better response to hypomethylating agents,Scores types and severity of low blood cell counts. IPSS-R classifies MDS into 5 risk groups.,"Cytopenias (anemia, neutropenia, thrombocytopenia)","For patients with symptomatic cytopenias or who are at high risk of infection or bleeding.
Supportive Care Options:
- General health Monitoring
- Psychosocial support
- Quality of Life Assessment
- Transfusions
- Antibiotics for bacterial Infections
- Aminocaproic Acid or other anti-fibrinolytic agents for bleeding
- Iron Chelation
- Cytokines
- Granulocyte colony stimulated factor (G-CSF)",Handles medical care not related to cancer
MDS,More common in male than female,Anemia,,SF3B1,,,,Pathologist,,Loss of appetite,MDS with low blasts and SF3B1 mutation,,,"Complete Blood Count, Platelates, Reticulocyte count",,interprets the cells/tissues removed during a biopsy/surgery
MDS,Past chemotherapy and radiation therapy cancer treatment,Anemia,,ASXL1,,,Chemotherapy,Diagnostic Radiologist,,Pale Skin,MDS with biallelic TP53 inactivation (MDS-biTP53),,,Serum Erythropoitin Level,Azacitidine (Vidaza by BMS),Reads the results of X-rays and other imaging tests
MDS,Genetic Syndrome,Anemia,MDS types grouped by what cells looks like,DNMT3A,,,,Interventional Radiologist,,Chest Pain,MDS with low blasts (MDS-LB),,,Peripheral blood smear,Decitabine (Dacogen by Otsuka),"Perfroms needle biopsy, ablations and arterially directed therapies, places ports for tretment "
MDS,Genetic Syndrome,Anemia,MDS types grouped by what cells looks like,SRSF2,,,,Medical Oncologist,,Shortness of breath,"MDS, hypoplastic (MDS-h)",,,Reticulocyte count,Oral Decitabine and cedazuridine (Inqovi by Otsuka),Treats cancer using systemic therapy. Leads overall treatment team. Keeps track of tests and exams.
MDS,Genetic Syndrome,Anemia,MDS types grouped by what cells looks like,RUNX1,WHO Classification based Prognostic Scoring System (WPSS),,Immunosuppressive therapy (Antithymocyte globulin),Radiation Oncologist,,Irregular or rapid heartbeat,MDS with increased blasts 1 (MDS-IB1),Correlate with worse thrombocytopenia,WHO classifies MDS into 7 risk groups,"Iron, Ferrritin, Folate, and Vitamin B12",ATGAM TF by Pfizer,Prescribes and plans radiation therapy to treat cancer
MDS,Family MDS history,Anemia,MDS types grouped by what cells looks like,TP53 ,,,,Anesthesiologist,,Cold hands and feet,MDS with increased blasts 2 (MDS-IB2),Correlate with worse thrombocytopenia,,Thyroid -stimulating harmone,Thymoglobulin by Sanofi Genzyme,Gives anesthesia
MDS,Smocking,Leukopenia,MDS types grouped by what cells looks like,U2AF1,,,,Palliative care specialist,,Fever,MDS with fibrosis (MDS-f),,,Copper Level,Cyclosporin (Neoral by Novartis),For symptomatic treatment and improvement in quality of life
MDS,Exposure to benzene,Leukopenia,,EZH2,,,"Erythroid Maturation Agents
(Treatment of Low platelet count and Anemia)",Advance Practice Providers,,Swelling and redness (inflammation) in and around mouth,,,,HIV Testing,Imetelstat (Rytelo),Registered nurses and physician assistants
MDS,,Leukopenia,,ZRSR2,,,,Oncology Nurses,,Frequent infections,,,,HLA Typing,Luspatercept (Reblozyl),For systemic therapy and care
MDS,,Leukopenia,,STAG2,,,Immunomodulators,Nutritionist,,Infections that don't go away,,,,LDH levels,Lenalidomide (Revlimid),Food or diet related to condition
MDS,,Thrombocytopenia,,CBL,,Immunophenotyping using Flow Cytometry,Targeted Therapy – IDH1 Inhibitor,Psychologist and Psychiatrist,,Unexplained bruising or bleeding,,,,Identify abnormal expression of surface markers on bone marrow cells,Ivosidenib (Tibsovo) by Servier,"Mental health experts to manage depression, anxiety and other mental conditions"
MDS,,Thrombocytopenia,,NRAS,International Prognostic Scoring System Molecular (IPSS-M),Bone Marrow Assessment,Conditioning Treatment,,,Nose bleeds,,,"A scoring system that considers account blood counts, blast percentage, IPSS-R risk categories, genetics and molecular sequencing results. IPSS-R classifies MDS into 6 risk groups.",Aspiration,Treating patients with high intensity chemotherapy to prepare there body to receive donated stem cells,
MDS,,Thrombocytopenia,,JAK2,International Prognostic Scoring System Molecular (IPSS-M),,Allogeneic Hematopoietic Stem Cell Transplant (HSCT),,,Bleeding gums,,,,Biopsy,The only potentially curative treatment for MDS,
MDS,,Thrombocytopenia,,SETBP1,International Prognostic Scoring System Molecular (IPSS-M),Genetic Tests,,,,"Tiny, flat red spots under skin",,,,Cytogenetic Testing,,
MDS,,Thrombocytopenia,,IDH1,International Prognostic Scoring System Molecular (IPSS-M),Genetic Tests,,,,Heavier than normal menstrual periods,,,,Flurescence in situ hybridization (FISH),,
MDS,,,,IDH2,International Prognostic Scoring System Molecular (IPSS-M),Genetic Tests,,,,,,,,Karyotype,,
MDS,,,,ETV6,,Genetic Tests,,,,,,,,Molecular Testing,,
MDS,,,,,,Genetic Tests,,,,,,,,DNA Sequencing,,
